id,gender,masterCategory,subCategory,baseColour,usage,productDisplayName,price,sale_price,discount_rate,S_stock,M_stock,L_stock,XL_stock,season
e55.jpg,Adult Male,Apparel,Bottomwear,Ecru/Tan,Vintage,Men's Pleated Linen Trousers,1.800TL,1.440TL,20%,Out of Stock,Low Stock,In Stock,In Stock,Spring/Summer
e56.jpg,Adult Male,Apparel,Topwear,Off-White Multi,Vintage,Men's Floral/Patterned Button-Up Shirt,1.300TL,1.040TL,20%,In Stock,In Stock,Low Stock,In Stock,Spring/Summer
e57.jpg,Adult Male,Apparel,Bottomwear,Mustard Yellow,Vintage,Men's Classic Fit Chino Pants,1.600TL,1.600TL,0%,In Stock,In Stock,In Stock,In Stock,4 Seasons
e58.jpg,Adult Male,Apparel,Bottomwear,Mid Grey,Vintage,Men's Textured Flat-Front Trousers,1.750TL,1.400TL,20%,Low Stock,In Stock,In Stock,In Stock,Autumn/Winter
e59.jpg,Adult Male,Apparel,Outerwear,Brown,Vintage,Men's Classic Suede Bomber Jacket,4.800TL,3.840TL,20%,Low Stock,Low Stock,Low Stock,Out of Stock,Autumn/Winter
e60.jpg,Adult Male,Apparel,Topwear,Red/Blue Multi,Vintage,Men's Striped Heritage T-Shirt,750TL,600TL,20%,In Stock,In Stock,In Stock,Low Stock,Spring/Summer
e61.jpg,Young Male,Apparel,Topwear,Light Blue,Casual,Men's Light Wash Denim Button-Up Shirt,850TL,680TL,20%,In Stock,In Stock,Low Stock,Out of Stock,4 Seasons
e62.jpg,Young Male,Apparel,Topwear,Olive Green,Casual,Men's Corduroy Long Sleeve Shirt,950TL,950TL,0%,In Stock,In Stock,In Stock,Low Stock,Autumn/Winter
e63.jpg,Young Male,Apparel,Topwear,Black,Casual,Men's Black Graphic Crew Neck T-Shirt,450TL,360TL,20%,In Stock,In Stock,In Stock,In Stock,Spring/Summer
e64.jpg,Young Male,Apparel,Outerwear,Rust Orange,Casual,Men's Full-Zip Hoodie with Pockets,1.200TL,900TL,25%,Low Stock,In Stock,In Stock,Out of Stock,Autumn/Winter
e65.jpg,Young Male,Apparel,Outerwear,Indigo Blue,Casual,Men's Classic Dark Wash Denim Jacket,1.600TL,1.280TL,20%,In Stock,Low Stock,In Stock,In Stock,4 Seasons
e66.jpg,Young Male,Apparel,Bottomwear,Beige,Casual,Men's Slim Fit Beige Chino Trousers,890TL,890TL,0%,In Stock,In Stock,Low Stock,Low Stock,4 Seasons
e67.jpg,Young Male,Apparel,Bottomwear,Blue,Casual,Men's Distressed Regular Fit Jeans,1.100TL,825TL,25%,Out of Stock,In Stock,In Stock,Low Stock,4 Seasons
e68.jpg,Young Male,Apparel,Bottomwear,Dark Grey,Casual,Men's Relaxed Cargo Pants with Pockets,990TL,792TL,20%,In Stock,In Stock,In Stock,Out of Stock,4 Seasons
e69.jpg,Young Male,Apparel,Bottomwear,Emerald Green,Casual,Men's Straight Fit Green Casual Trousers,890TL,712TL,20%,Low Stock,In Stock,In Stock,Low Stock,Spring/Summer
e70.jpg,Young Male,Apparel,Topwear,Black,Casual,Men's Essential Solid Black T-Shirt,400TL,400TL,0%,In Stock,In Stock,In Stock,In Stock,Spring/Summer
e71.jpg,Young Male,Apparel,Bottomwear,Charcoal Grey,Formal/Casual,Men's Tailored Smart Casual Charcoal Trousers,1.450TL,1.160TL,20%,In Stock,In Stock,Low Stock,Out of Stock,4 Seasons
e72.jpg,Young Male,Apparel,Topwear,Navy Blue,Formal/Casual,Men's Fine Knit Open Collar Polo Shirt,950TL,950TL,0%,In Stock,In Stock,In Stock,Low Stock,Spring/Summer
e73.jpg,Young Male,Apparel,Topwear,White,Formal/Casual,Men's Premium Oxford Cotton Button-Down Shirt,1.200TL,960TL,20%,Low Stock,In Stock,In Stock,In Stock,4 Seasons
e74.jpg,Young Male,Apparel,Bottomwear,Beige,Formal/Casual,Men's Slim Fit Classic Beige Chino Trousers,1.100TL,825TL,25%,In Stock,In Stock,Low Stock,Low Stock,4 Seasons
e75.jpg,Young Male,Apparel,Topwear,Navy Blue,Formal/Casual,Men's Crew Neck Fine Knit Cotton Sweater,1.350TL,1.080TL,20%,Out of Stock,In Stock,In Stock,Low Stock,Autumn/Winter
e76.jpg,Young Male,Apparel,Outerwear,Dark Brown,Formal/Casual,Men's Classic Corduroy Blazer Jacket,2.850TL,2.280TL,20%,In Stock,In Stock,In Stock,In Stock,Autumn/Winter
e77.jpg,Young Male,Apparel,Bottomwear,Indigo Blue,Formal/Casual,Men's Dark Wash Regular Fit Tailored Jeans,1.500TL,1.500TL,0%,In Stock,Low Stock,In Stock,Out of Stock,4 Seasons
e78.jpg,Young Male,Apparel,Bottomwear,Olive Green,Formal/Casual,Men's Smart Casual Pressed Crease Khaki Trousers,1.250TL,937TL,25%,Low Stock,In Stock,In Stock,Low Stock,4 Seasons
e79.jpg,Young Male,Apparel,Topwear,Ecru,Formal/Casual,Men's Essential Minimalist Plain White T-Shirt,450TL,360TL,20%,In Stock,In Stock,Low Stock,Out of Stock,Spring/Summer
e80.jpg,Young Male,Apparel,Outerwear,Black,Formal/Casual,Men's Premium Sleek Black Leather Bomber Jacket,3.500TL,3.500TL,0%,In Stock,In Stock,In Stock,In Stock,Autumn/Winter
e81.jpg,Young Male,Apparel,Topwear,Ecru,Minimal,Men's Linen Blend Grandad Collar Shirt,950TL,760TL,20%,In Stock,In Stock,Low Stock,Out of Stock,Spring/Summer
e82.jpg,Young Male,Apparel,Outerwear,Navy Blue,Minimal,Men's Minimalist Cotton Overshirt Jacket,1.650TL,1.650TL,0%,In Stock,In Stock,In Stock,Low Stock,4 Seasons
e83.jpg,Young Male,Apparel,Topwear,White,Minimal,Men's Premium Crew Neck Solid White T-Shirt,420TL,420TL,0%,In Stock,In Stock,In Stock,In Stock,Spring/Summer
e84.jpg,Young Male,Apparel,Bottomwear,Beige,Minimal,Men's Slim Fit Minimalist Beige Chino Trousers,1.150TL,920TL,20%,In Stock,In Stock,Low Stock,Out of Stock,4 Seasons
e85.jpg,Young Male,Apparel,Outerwear,Black,Minimal,Men's Clean-Cut Matte Black Bomber Jacket,2.100TL,1.680TL,20%,Low Stock,In Stock,In Stock,Low Stock,4 Seasons
e86.jpg,Young Male,Apparel,Bottomwear,Blue,Minimal,Men's Straight-Leg Light Wash Denim Jeans,1.400TL,1.050TL,25%,Out of Stock,In Stock,In Stock,Low Stock,4 Seasons
e87.jpg,Young Male,Apparel,Topwear,Charcoal Grey,Minimal,Men's Knit Polo Shirt with Open Collar,890TL,712TL,20%,In Stock,Low Stock,In Stock,In Stock,Spring/Summer
e88.jpg,Young Male,Apparel,Bottomwear,Olive Green,Minimal,Men's Tailored Smart Casual Olive Trousers,1.200TL,1.200TL,0%,Low Stock,In Stock,In Stock,Low Stock,4 Seasons
e89.jpg,Young Male,Apparel,Topwear,Beige,Minimal,Men's Heavyweight Boxy Fit Sand T-Shirt,480TL,360TL,25%,In Stock,In Stock,In Stock,Out of Stock,4 Seasons
e90.jpg,Young Male,Apparel,Bottomwear,Black,Minimal,Men's Slim Straight Minimalist Black Trousers,1.350TL,1.080TL,20%,In Stock,In Stock,Low Stock,Out of Stock,4 Seasons
e91.jpg,Young Male,Apparel,Outerwear,Multi-Color,Sportive,Men's Red and Navy Colorblock Windbreaker Jacket,1.850TL,1.480TL,20%,In Stock,In Stock,Low Stock,Out of Stock,4 Seasons
e92.jpg,Young Male,Apparel,Topwear,Grey,Sportive,Men's Athletic NYC Printed Grey Sweatshirt,850TL,850TL,0%,In Stock,In Stock,In Stock,Low Stock,Autumn/Winter
e93.jpg,Young Male,Apparel,Outerwear,Green,Sportive,Men's Black and Green Full-Zip Track Jacket,1.600TL,1.200TL,25%,Low Stock,In Stock,In Stock,Out of Stock,4 Seasons
e94.jpg,Young Male,Apparel,Bottomwear,Black,Sportive,Men's Essential Slim Fit Black Jogger Pants,950TL,760TL,20%,In Stock,In Stock,Low Stock,Low Stock,4 Seasons
e95.jpg,Young Male,Apparel,Bottomwear,Navy Blue,Sportive,Men's 2-in-1 Running Shorts with Inner Liner,650TL,520TL,20%,Out of Stock,In Stock,In Stock,Low Stock,Spring/Summer
e96.jpg,Young Male,Apparel,Topwear,Light Grey,Sportive,Men's V-Neck Breathable Performance T-Shirt,450TL,360TL,20%,In Stock,In Stock,In Stock,In Stock,Spring/Summer
e97.jpg,Young Male,Apparel,Bottomwear,Blue,Sportive,Men's Classic 3-Stripe Athletic Track Pants,1.100TL,1.100TL,0%,In Stock,Low Stock,In Stock,Out of Stock,4 Seasons
e98.jpg,Young Male,Apparel,Bottomwear,Dark Grey,Sportive,Men's Mesh Detailed Athletic Training Tights,890TL,712TL,20%,Low Stock,In Stock,In Stock,Low Stock,4 Seasons
e99.jpg,Young Male,Apparel,Bottomwear,Burgundy,Sportive,Men's Fleece Drawstring Burgundy Sweatpants,950TL,712TL,25%,In Stock,In Stock,In Stock,Out of Stock,Autumn/Winter
e100.jpg,Young Male,Apparel,Topwear,Mustard Yellow,Sportive,Men's University Athletics Graphic T-Shirt,480TL,480TL,0%,In Stock,In Stock,In Stock,In Stock,Spring/Summer
e101.jpg,Young Male,Apparel,Outerwear,Navy Blue,Formal/Casual,Men's Slim Fit Navy Blue Blazer Jacket,2.450TL,1.960TL,20%,In Stock,In Stock,Low Stock,Out of Stock,4 Seasons
e102.jpg,Young Male,Apparel,Topwear,White,Formal/Casual,Men's Premium White Oxford Cotton Shirt,950TL,950TL,0%,In Stock,In Stock,In Stock,Low Stock,4 Seasons
e103.jpg,Young Male,Apparel,Topwear,Charcoal Grey,Formal/Casual,Men's Knit Polo Shirt with Open Collar,850TL,680TL,20%,Low Stock,In Stock,In Stock,In Stock,Spring/Summer
e104.jpg,Young Male,Apparel,Bottomwear,Beige,Formal/Casual,Men's Classic Fit Beige Chino Trousers,1.100TL,825TL,25%,In Stock,In Stock,Low Stock,Low Stock,4 Seasons
e105.jpg,Young Male,Apparel,Outerwear,Sage Green,Formal/Casual,Men's Lightweight Utility Shirt Jacket,1.850TL,1.480TL,20%,Out of Stock,In Stock,In Stock,Low Stock,Autumn/Winter
e106.jpg,Young Male,Apparel,Topwear,Dark Grey,Formal/Casual,Men's Fine Ribbed Crew Neck T-Shirt,550TL,440TL,20%,In Stock,In Stock,In Stock,In Stock,Spring/Summer
e107.jpg,Young Male,Apparel,Bottomwear,Indigo Blue,Formal/Casual,Men's Slim Straight Dark Indigo Jeans,1.350TL,1.350TL,0%,In Stock,Low Stock,In Stock,Out of Stock,4 Seasons
e108.jpg,Young Male,Apparel,Topwear,Light Blue,Formal/Casual,Men's Breathable Light Blue Linen Shirt,1.200TL,900TL,25%,Low Stock,In Stock,In Stock,Low Stock,Spring/Summer
e109.jpg,Young Male,Apparel,Bottomwear,Black,Formal/Casual,Men's Tailored Smart Casual Black Trousers,1.150TL,920TL,20%,In Stock,In Stock,Low Stock,Out of Stock,4 Seasons
e110.jpg,Young Male,Apparel,Topwear,Multi-Color,Formal/Casual,Men's Striped Cotton Crew Neck T-Shirt,480TL,480TL,0%,In Stock,In Stock,In Stock,In Stock,Spring/Summer
e111.jpg,Young Male,Apparel,Outerwear,Brown,Vintage,Men's Distressed Brown Leather Jacket,3.200TL,2.560TL,20%,Low Stock,In Stock,In Stock,Out of Stock,Autumn/Winter
e112.jpg,Young Male,Apparel,Outerwear,Mustard Yellow,Vintage,Men's Retro Corduroy Bomber Jacket,1.850TL,1.480TL,20%,In Stock,In Stock,Low Stock,Low Stock,Autumn/Winter
e113.jpg,Young Male,Apparel,Topwear,Burgundy,Vintage,Men's Plaid Flannel Button-Up Shirt,850TL,850TL,0%,In Stock,In Stock,In Stock,Low Stock,Autumn/Winter
e114.jpg,Young Male,Apparel,Topwear,Ecru,Vintage,Men's Retro Striped Knit Shirt,950TL,760TL,20%,In Stock,Low Stock,In Stock,In Stock,Spring/Summer
e115.jpg,Young Male,Apparel,Topwear,Faded Black,Vintage,Men's 90s Rock Graphic Crew Neck T-Shirt,550TL,412TL,25%,Low Stock,In Stock,In Stock,In Stock,4 Seasons
e116.jpg,Young Male,Apparel,Bottomwear,Olive Green,Vintage,Men's Relaxed Fit Corduroy Trousers,1.250TL,1.000TL,20%,In Stock,In Stock,Low Stock,Out of Stock,Autumn/Winter
e117.jpg,Young Male,Apparel,Bottomwear,Faded Blue,Vintage,Men's 80s High-Waisted Straight Leg Jeans,1.400TL,1.050TL,25%,Out of Stock,In Stock,In Stock,Low Stock,4 Seasons
e118.jpg,Young Male,Apparel,Bottomwear,Tan Brown,Vintage,Men's Classic Wide-Leg Pleated Chinos,1.100TL,1.100TL,0%,In Stock,Low Stock,In Stock,In Stock,4 Seasons
e119.jpg,Young Male,Apparel,Bottomwear,Dark Khaki,Vintage,Men's Multi-Pocket Vintage Cargo Pants,1.300TL,1.040TL,20%,Low Stock,In Stock,In Stock,Low Stock,4 Seasons
e120.jpg,Young Male,Apparel,Topwear,Multi-Color,Vintage,Men's Horizontal Striped Retro T-Shirt,480TL,384TL,20%,In Stock,In Stock,In Stock,In Stock,Spring/Summer
e121.jpg,Boys,Apparel,Topwear,Indigo Blue,Casual,Boys Denim Long Sleeve Button Shirt,650TL,520TL,20%,In Stock,In Stock,Low Stock,Out of Stock,4 Seasons
e122.jpg,Boys,Apparel,Bottomwear,Blue Denim,Casual,Boys Classic Comfort Fit Jeans,550TL,550TL,0%,In Stock,In Stock,In Stock,Low Stock,4 Seasons
e123.jpg,Boys,Apparel,Topwear,Grey Melange,Casual,Boys Rocket Embroidered Cotton T-Shirt,350TL,280TL,20%,In Stock,Low Stock,Out of Stock,In Stock,Spring/Summer
e124.jpg,Boys,Apparel,Bottomwear,Beige,Casual,Boys Classic Chino Trousers,580TL,464TL,20%,Low Stock,In Stock,In Stock,Out of Stock,4 Seasons
e125.jpg,Boys,Apparel,Topwear,Multi-Color,Casual,Boys Red and Navy Checked Flannel Shirt,620TL,620TL,0%,In Stock,Low Stock,In Stock,In Stock,Autumn/Winter
e126.jpg,Boys,Apparel,Outerwear,Mustard,Casual,Boys Hooded Zip-Up Sweatshirt,750TL,600TL,20%,In Stock,In Stock,Low Stock,Low Stock,Autumn/Winter
e127.jpg,Boys,Apparel,Bottomwear,Khaki Green,Casual,Boys Multi-Pocket Cargo Trousers,600TL,480TL,20%,Out of Stock,In Stock,In Stock,In Stock,4 Seasons
e128.jpg,Boys,Apparel,Topwear,Navy Blue,Casual,Boys Cycling Bear Printed T-Shirt,350TL,350TL,0%,In Stock,In Stock,Out of Stock,Low Stock,Spring/Summer
e129.jpg,Boys,Apparel,Bottomwear,Dark Grey,Casual,Boys Drawstring Elastic Waist Jogger,480TL,384TL,20%,Low Stock,Low Stock,In Stock,In Stock,4 Seasons
e130.jpg,Boys,Apparel,Outerwear,Navy Blue,Casual,Boys Lightweight Windbreaker Zipper Jacket,850TL,850TL,0%,In Stock,Out of Stock,Low Stock,In Stock,Spring/Autumn
e131.jpg,Boys,Apparel,Topwear,White,Formal,Boys Classic Cotton Oxford Button-Down Shirt,680TL,544TL,20%,In Stock,In Stock,Low Stock,Out of Stock,4 Seasons
e132.jpg,Boys,Apparel,Bottomwear,Navy Blue,Formal,Boys Tailored Pleated Dress Trousers,750TL,750TL,0%,In Stock,Low Stock,In Stock,In Stock,4 Seasons
e133.jpg,Boys,Apparel,Topwear,Light Blue,Formal,Boys Fine Striped Classic Dress Shirt,650TL,520TL,20%,In Stock,In Stock,Out of Stock,Low Stock,4 Seasons
e134.jpg,Boys,Apparel,Bottomwear,Beige,Formal/Casual,Boys Premium Comfort Chino Trousers,620TL,496TL,20%,Low Stock,In Stock,In Stock,Out of Stock,4 Seasons
e135.jpg,Boys,Apparel,Outerwear,Navy Blue,Formal,Boys Classic Two-Button Blazer Jacket,1.100TL,1.100TL,0%,In Stock,Out of Stock,In Stock,In Stock,4 Seasons
e136.jpg,Boys,Apparel,Topwear,Light Grey,Formal/Casual,Boys Fine Knit V-Neck Sweater,580TL,464TL,20%,In Stock,Low Stock,Low Stock,In Stock,Autumn/Winter
e137.jpg,Boys,Apparel,Bottomwear,Grey,Formal,Boys Formal Herringbone Suit Trousers,720TL,576TL,20%,Out of Stock,In Stock,In Stock,Low Stock,Autumn/Winter
e138.jpg,Boys,Apparel,Topwear,Multi-Color,Formal/Casual,Boys Nautical Striped Polo Neck T-Shirt,420TL,420TL,0%,In Stock,In Stock,Low Stock,In Stock,Spring/Summer
e139.jpg,Boys,Apparel,Bottomwear,Dark Blue,Formal/Casual,Boys Straight Cut Classic Dark Wash Jeans,590TL,472TL,20%,Low Stock,In Stock,In Stock,Out of Stock,4 Seasons
e140.jpg,Boys,Apparel,Outerwear,Khaki Beige,Formal/Casual,Boys Smart Harrington Style Cotton Jacket,890TL,890TL,0%,In Stock,Low Stock,In Stock,Low Stock,Spring/Autumn
e141.jpg,Boys,Apparel,Topwear,Ecru,Minimalist,Boys Minimalist Linen Grandad Collar Shirt,690TL,552TL,20%,In Stock,In Stock,Low Stock,Out of Stock,Spring/Summer
